in:Roof angle,in:Sunspace depth,in:SRR,in:WWR,in:Floor const,in:Window const,in:Skylight const,in:Exterior wall const,in:Insulation material,out:Heating load (kWh/m2),out:Solar gain (kWh),out:Cooling load (kWh/m2)
0,1,0.3,0.3,Typical Insulated Exterior Mass Floor-R8,Polyc 6mm twin,Polyc 6mm twin,Typical Insulated Exterior Mass Wall-R17,EPS100_Polystyrene_Insulation_Board,13.072304,5628.389481,19.479801
0,1,0.3,0.3,Typical Insulated Exterior Mass Floor-R8,Polyc 6mm twin,Polyc 6mm twin,Typical Insulated Exterior Mass Wall-R17,LUXOUS_1147_FR,14.79614,5642.957545,19.479801
0,1,0.3,0.3,Typical Insulated Exterior Mass Floor-R8,Polyc 6mm twin,Polyc 6mm twin,Typical Insulated Exterior Mass Wall-R17,No_Movable_insulation,15.413423,5665.990391,19.479801
0,1,0.3,0.3,Typical Insulated Exterior Mass Floor-R8,Polyc 6mm twin,Polyc 6mm twin,Typical Uninsulated Exterior Mass Wall,EPS100_Polystyrene_Insulation_Board,13.047447,5628.389481,19.701987
0,1,0.3,0.3,Typical Insulated Exterior Mass Floor-R8,Polyc 6mm twin,Polyc 6mm twin,Typical Uninsulated Exterior Mass Wall,LUXOUS_1147_FR,14.337838,5642.957545,19.701987
0,1,0.3,0.3,Typical Insulated Exterior Mass Floor-R8,Polyc 6mm twin,Polyc 6mm twin,Typical Uninsulated Exterior Mass Wall,No_Movable_insulation,14.724396,5665.990391,19.701987
0,1,0.3,0.3,Typical Insulated Exterior Mass Floor-R8,Polyc 6mm twin,clear 3mm,Typical Insulated Exterior Mass Wall-R17,EPS100_Polystyrene_Insulation_Board,13.075583,6197.554002,19.640666
0,1,0.3,0.3,Typical Insulated Exterior Mass Floor-R8,Polyc 6mm twin,clear 3mm,Typical Insulated Exterior Mass Wall-R17,LUXOUS_1147_FR,15.403455,6209.492785,19.640666
0,1,0.3,0.3,Typical Insulated Exterior Mass Floor-R8,Polyc 6mm twin,clear 3mm,Typical Insulated Exterior Mass Wall-R17,No_Movable_insulation,16.237663,6240.003399,19.640666
0,1,0.3,0.3,Typical Insulated Exterior Mass Floor-R8,Polyc 6mm twin,clear 3mm,Typical Uninsulated Exterior Mass Wall,EPS100_Polystyrene_Insulation_Board,12.892301,6197.589038,19.758334
0,1,0.3,0.3,Typical Insulated Exterior Mass Floor-R8,Polyc 6mm twin,clear 3mm,Typical Uninsulated Exterior Mass Wall,LUXOUS_1147_FR,14.641029,6209.594449,19.758334
0,1,0.3,0.3,Typical Insulated Exterior Mass Floor-R8,Polyc 6mm twin,clear 3mm,Typical Uninsulated Exterior Mass Wall,No_Movable_insulation,15.253238,6240.003399,19.758334
0,1,0.3,0.3,Typical Insulated Exterior Mass Floor-R8,clear 3mm,Polyc 6mm twin,Typical Insulated Exterior Mass Wall-R17,EPS100_Polystyrene_Insulation_Board,12.737719,5965.929747,19.348732
0,1,0.3,0.3,Typical Insulated Exterior Mass Floor-R8,clear 3mm,Polyc 6mm twin,Typical Insulated Exterior Mass Wall-R17,LUXOUS_1147_FR,14.822659,5980.358524,19.348732
0,1,0.3,0.3,Typical Insulated Exterior Mass Floor-R8,clear 3mm,Polyc 6mm twin,Typical Insulated Exterior Mass Wall-R17,No_Movable_insulation,15.571069,6007.346082,19.348732
0,1,0.3,0.3,Typical Insulated Exterior Mass Floor-R8,clear 3mm,Polyc 6mm twin,Typical Uninsulated Exterior Mass Wall,EPS100_Polystyrene_Insulation_Board,12.782176,5965.976545,19.592038
0,1,0.3,0.3,Typical Insulated Exterior Mass Floor-R8,clear 3mm,Polyc 6mm twin,Typical Uninsulated Exterior Mass Wall,LUXOUS_1147_FR,14.324666,5981.187732,19.592038
0,1,0.3,0.3,Typical Insulated Exterior Mass Floor-R8,clear 3mm,Polyc 6mm twin,Typical Uninsulated Exterior Mass Wall,No_Movable_insulation,14.794939,6007.346082,19.592038
0,1,0.3,0.3,Typical Insulated Exterior Mass Floor-R8,clear 3mm,clear 3mm,Typical Insulated Exterior Mass Wall-R17,EPS100_Polystyrene_Insulation_Board,12.750418,6535.094268,19.508139
0,1,0.3,0.3,Typical Insulated Exterior Mass Floor-R8,clear 3mm,clear 3mm,Typical Insulated Exterior Mass Wall-R17,LUXOUS_1147_FR,15.32634,6546.924009,19.508139
0,1,0.3,0.3,Typical Insulated Exterior Mass Floor-R8,clear 3mm,clear 3mm,Typical Insulated Exterior Mass Wall-R17,No_Movable_insulation,16.32155,6581.359089,19.508139
0,1,0.3,0.3,Typical Insulated Exterior Mass Floor-R8,clear 3mm,clear 3mm,Typical Uninsulated Exterior Mass Wall,EPS100_Polystyrene_Insulation_Board,12.60933,6535.176102,19.638954
0,1,0.3,0.3,Typical Insulated Exterior Mass Floor-R8,clear 3mm,clear 3mm,Typical Uninsulated Exterior Mass Wall,LUXOUS_1147_FR,14.562338,6547.824636,19.638954
0,1,0.3,0.3,Typical Insulated Exterior Mass Floor-R8,clear 3mm,clear 3mm,Typical Uninsulated Exterior Mass Wall,No_Movable_insulation,15.259013,6581.359089,19.638954
0,1,0.3,0.3,Typical Uninsulated 6in Slab Floor,Polyc 6mm twin,Polyc 6mm twin,Typical Insulated Exterior Mass Wall-R17,EPS100_Polystyrene_Insulation_Board,14.533912,5628.389481,18.256937
0,1,0.3,0.3,Typical Uninsulated 6in Slab Floor,Polyc 6mm twin,Polyc 6mm twin,Typical Insulated Exterior Mass Wall-R17,LUXOUS_1147_FR,16.199227,5642.957545,18.256937
0,1,0.3,0.3,Typical Uninsulated 6in Slab Floor,Polyc 6mm twin,Polyc 6mm twin,Typical Insulated Exterior Mass Wall-R17,No_Movable_insulation,16.720782,5665.990391,18.256937
0,1,0.3,0.3,Typical Uninsulated 6in Slab Floor,Polyc 6mm twin,Polyc 6mm twin,Typical Uninsulated Exterior Mass Wall,EPS100_Polystyrene_Insulation_Board,13.868271,5628.389481,18.832102
0,1,0.3,0.3,Typical Uninsulated 6in Slab Floor,Polyc 6mm twin,Polyc 6mm twin,Typical Uninsulated Exterior Mass Wall,LUXOUS_1147_FR,15.121548,5642.957545,18.832102
0,1,0.3,0.3,Typical Uninsulated 6in Slab Floor,Polyc 6mm twin,Polyc 6mm twin,Typical Uninsulated Exterior Mass Wall,No_Movable_insulation,15.469298,5665.990391,18.832102
